"DisplayName","AverageScore"
visakh,9
Alok Sharma,2
Kunal Ekawde,0
tinker,-1
pepelucaz,0
user224303,1
scraft3613,2
Laurent De Marez,1
bahhumbug,5
Josh Bradley,3
Nick Rundquist,7
rakhavan,2
Antonello Pasella,0
pcardune,3
SirFabel,11
peters,2
user39307,11
Pim,2
Ian Greenleaf Young,22
Christian Witts,3
stanleyxu2005,4
moriarty,3
Will Rogers,6
Bill Reiss,2
user40097,5
Fergie,3
user27171,5
aaronwest,0
arun hs,1
Neslishah,1
Ryan Price,0
Hozefa Unwala,0
Climooo,3
Robbie Trencheny,4
hectorg87,4
Justin Halsall,1
UnityPrgmer,3
Ernest Smithers,1
begsor12,2
Reese,1
Raoni,7
MakeM,2
jam1,1
nfaux,0
yogi4ever,1
tacovan,5
Ben Wright,4
Samir Chakour,2
pedroAx,0
funkyhat,0
Patrick Aikens,2
Jeff Post,2
Oleg Ivanov,2
Fredrik Jonson,1
Dragos Rusea,0
aehjaj,2
jonathanserafini,8
bdirgo,1
IgalSt,1
malhal,3
tartrius,12
Bastian Spanneberg,13
Karthik Viswanathan,11
alexloh,8
Martin Dimitrov,16
Slobodan,1
Erica,3
bleevo,2
HiredMind,4
AmaDaden,1
Eliseo Ocampos,8
MatthiasS,4
cnickelwebcom,2
deanWombourne,3
Chris Adams,6
razlebe,4
JtR,32
ak.,3
Meenakshi,0
Sanjay Sheoran,1
Still_Learning,0
Sachin Khandelwal,-1
Guibin,1
Count Chocula,3
Quirijn Slings,1
Joelmob,0
jamihash,0
user372056,5
Sander Mangel,0
Heap Weep,0
Vassilis MRF,0
user306407,0
Jelks,2
simonr,11
xzxxx,-3
Begemotya,5
afvasd,0
Jason Sirota,2
ChickenFur,0
user194657,1
Krishnanand,0
Zlatoroh,2
jmster,7
emulcahy,2
Jack Benning,12
Irimis,3
MariusVE,0
camcam2,0
Daniel O'Connor,10
tomeara,1
scaraveos,5
Hrvoje Varga,4
mighty_man,1
Bat Fastard,6
spoekes,5
Pythovore,0
Sergey Toropenko,5
Vinod R,0
whitea,2
sujitnist,4
Hawk,2
Kyle Brickman,0
Hendrik Wiese,4
Félix Saparelli,3
vcLwei,42
zer0c00l,1
DaveG,2
Bo Schatzberg,2
user94405,6
qfinder,21
Novice Developer,6
Curlas,0
Waltharius,1
user36500,1
igece,1
Orange Box,2
FloppyDisk,1
Gedean Dias,2
Ghalib Suleiman,-4
Jose Miguel,1
Ian McIntyre Silber,3
user565184,-1
Mike Chelen,1
wdmtaj,0
Hamed J.I,1
user412090,3
nowaycomputer,1
Izarian,0
Aubrey da Cunha,0
psmears,9
rmribeiro,3
AndiNo,3
Malc B,4
Hashem,1
bryan.taylor,1
user250607,0
BiBi,61
Jack James,1
jitu,0
adsads,3
Delfeld,1
prideout,3
cc96ai,2
Shahan,1
ubolonton,4
kgoldfisher,1
Thomas David,0
aem,3
mrmuggles,1
TheBlueSky,5
eSniff,2
ck_,22
chrissr,14
Tometzky,4
stephenl,1
cobra libre,16
Jon RePe,4
xiemails,36
Ignace,1
Boardy,8
Marsman,5
Kio-ireland,1
elchente23,-2
bardou,0
abdulkaderjeelani,2
jquery_user,6
mistachkin,7
FreeVice,2
Josh Garwood,1
vailen,8
Deek,1
Anthony Doan,0
user332045,3
Tristan Rhodes,1
lukmac,2
Olegs Jeremejevs,4
CousinVinny,0
Jake Kovar,0
Rodrigo Perez Burgues,2
user323186,1
João Loureiro,7
PPS,2
Robert Christie,8
David Phillips,17
rgmarcha,1
LyphTEC,3
Brian Griffin,1
tuantub,3
Mike Yockey,2
JW Kim,1
Rookz,2
Sterling Bates,0
YiddishNinja,1
jannee,-4
furkan,2
Ruruboy,0
jfedick,0
Oncel Umut TURER,5
Learn SQL,0
Mac135,2
Brian Temecula,1
user428502,2
reukiodo,1
martintr,1
Martin Giffy D'Souza,4
Magicked,2
captainpete,28
Mgetz,1
MSK,4
GOLDfish,1
poxin,0
Tauqeer,1
Abd Shomad,2
Dribbel,15
user63572,7
thepeer,91
adrians,1
sooon,1
Antony Stubbs,25
chila,2
skinp,36
harty,1
montylounge,11
Chef Chris ,4
user42152,0
Josh Glover,67
Ravindra K.,14
Alpagut,1
Chris Malloy,0
user530361,0
luminara19131,2
NiRC,3
rolls,0
Rushin,1
Rob Lauer,4
tinesoft,18
Ruleland,2
NYCHealth,2
user345171,14
gbf.sara,0
Xufyan,0
Spyridon N. Kaparelis,0
tjcombos,15
Sathiya,3
user184805,10
Crayon Violent,3
karlkma,6
Dennis Kashkin,4
Sean Edwards,5
ehdv,3
Nixarn,9
Adam Woś,2
Stefaan,2
Kyle Noland,4
GeneQ,16
mkClark,8
David Williams,2
user72539,4
ixo,6
emiles,3
James Wong,1
Sangam254,0
kirant400,-1
user418354,0
Sigma,2
user461432,1
john plourd,1
Paulo Silva,1
James Katt,2
Javierfdr,1
atomic1,0
K-Gun,2
BoSoud,1
Changhong,7
Alex Pretzlav,23
LoganGoesPlaces,0
Simon Jester,1
Oliver Mankowski,1
papapowp,0
maguschen,7
Donnie DeBoer,3
Zach Holmquist,6
Ricardo Stuven,4
Andrea Fiore,3
user153186,6
elektronaut,7
Ben Edwards,6
grosser,18
Marius Seritan,2
greye,14
Filipe Costa,1
Jato,3
Lark,23
SquareCog,9
user17956,3
Yonatan Maman,5
David Hofmann,11
Whytespot,3
daaaaaaa,5
uovobw,1
Amir Sagri,9
Adalbert27,2
kbeal2k,0
Patrick Wied,20
Igor Skochinsky,4
Hendrik Pon,0
Mehdadoo,0
hazardco,2
Ihab,6
Joe Awungshi,0
Geeronimo,1
Bulfen,1
Jay Hankins,1
lolla,0
gantzer89,0
jlanza,3
Jason Gaved,0
Prasad Soman,1
donkeyx,2
Catalina,7
Kreegr,0
Praheed60,15
Victor Olex,2
Ranu Gupta,1
durcicko,5
Benjamin Wootton,5
S16,1
bluemoo,5
Brent Kirby,-13
Andreas Jansson,4
nightshadex101,1
